age,sex,population
2,female,196479
2,male,208343
7,female,200046
7,male,211341
12,female,187648
12,male,198390
17,female,185734
17,male,195800
22,female,233798
22,male,251975
27,female,263506
27,male,267718
32,female,264946
32,male,257195
37,female,240301
37,male,237606
42,female,209107
42,male,207760
47,female,221103
47,male,210327
52,female,202090
52,male,191254
57,female,197905
57,male,188022
62,female,178844
62,male,168315
67,female,157733
67,male,146438
72,female,135089
72,male,126891
77,female,97110
77,male,87451
82,female,72270
82,male,58655
87,female,48872
87,male,34035
92,female,26005
92,male,14646
97,female,8152
97,male,3608
102,female,969.9769685
102,male,344.5950625
107,female,38.92223252
107,male,22.20773017
